id,year,shipname,nation,days,embarked,disembarked
42844,1566,S Cruz,,,359,287
41938,1566,Santiago,,,350,280
42851,1567,S Juan Bautista,,,359,287
29571,1567,Madalena,Spain / Uruguay,,287,230
98854,1567,Salomon,Great Britain,,75,51
98855,1567,Paul,Great Britain,,75,51
98856,1567,Pascoe,Great Britain,,75,51
98857,1567,Swallow,Great Britain,,75,51
98851,1568,Jesus of Lubeck,Great Britain,,359,287
29544,1568,Concepción,,,359,287
98846,1568,Mynion (a) HMS Minion,Great Britain,,78,54
98848,1568,Judith,Great Britain,,78,54
98849,1568,Angel,Great Britain,,78,54
98850,1568,Swallow,Great Britain,,78,54
98847,1568,William and John,Great Britain,,78,54
42860,1569,NS de la Concepcion,,,529,423
42859,1569,S Salvador,,,510,408
42855,1569,S Mateo,,,414,331
42548,1569,NS de Guia,,,371,297
41958,1569,S Juan,,,363,290
42858,1569,S Catalina,,,363,290
42796,1569,S Catalina,,,359,287
41959,1569,Santi Espiritus,,,338,270
42852,1569,NS de Ayuda,,,326,261
42861,1570,NS de la Victoria,,,576,461
28053,1570, ,,,395,316
42743,1570,NS de la Consolacion,,,349,280
42862,1571,NS de Candelaria,,,575,460
42540,1571,San Telmo (a) San Juan,,,439,351
42529,1571,Trinidad,,,430,344
33657,1571,Fleur-de-Lys,France,,60,45
42783,1572, ,,,474,379
42570,1572,NS de la Victoria,,,467,373
42727,1572,S Mateo,,,459,367
42705,1572,S Martin,,,440,352
28054,1572,S Pedro,,,397,317
42863,1572,Asencion,,,396,317
42541,1573,NS de la Concepcion,,,397,318
29582,1573,S Sebastián,Portugal / Brazil,,367,294
41960,1573, ,,,359,287
42864,1574,NS de la Victoria,,,470,376
41965,1574,San Francisco,,,366,293
42683,1574,NS de la Victoria,,,359,287
42602,1574,Santiago,,,359,287
42636,1574,NS de Altagracia,,,359,287
41961,1574,NS de Nazaren,,,333,267
42752,1574,NS de la Estrella,,,329,263
42520,1574,S Anton,,,328,263
