ano,traficados,mortos,Sem informação,Espanha / Uruguai,Grã Bretanha,França,Portugal / Brasil,Holanda,Dinamarca / Bálticos,E.U.A.,Outros
1566,709,142,709,0,0,0,0,0,0,0,0
1567,946,225,359,287,300,0,0,0,0,0,0
1568,1108,264,359,0,749,0,0,0,0,0,0
1569,3573,716,3573,0,0,0,0,0,0,0,0
1570,1320,263,1320,0,0,0,0,0,0,0,0
1571,1504,304,1444,0,0,60,0,0,0,0,0
1572,2633,528,2633,0,0,0,0,0,0,0,0
1573,1123,224,756,0,0,0,367,0,0,0,0
1574,3280,652,3224,0,0,0,56,0,0,0,0
1575,3224,625,2848,0,0,44,332,0,0,0,0
1576,2367,468,2270,0,0,0,97,0,0,0,0
1577,3030,606,2659,0,0,0,371,0,0,0,0
1578,900,180,900,0,0,0,0,0,0,0,0
1579,15022,3011,15022,0,0,0,0,0,0,0,0
1580,1436,288,1436,0,0,0,0,0,0,0,0
1581,9753,1956,9693,0,0,60,0,0,0,0,0
1582,7705,1512,7539,0,0,0,166,0,0,0,0
1583,9731,1952,9372,0,0,359,0,0,0,0,0
1584,3231,648,3231,0,0,0,0,0,0,0,0
1585,5261,1052,5261,0,0,0,0,0,0,0,0
1586,7880,1579,7880,0,0,0,0,0,0,0,0
1587,7689,1539,6923,407,0,0,359,0,0,0,0
1588,7888,1580,7001,0,0,0,887,0,0,0,0
1589,6579,1326,6579,0,0,0,0,0,0,0,0
1590,5378,1077,5019,0,0,0,359,0,0,0,0
1591,8718,1748,8718,0,0,0,0,0,0,0,0
1592,3952,792,3593,0,0,0,359,0,0,0,0
1593,10795,2162,7318,3477,0,0,0,0,0,0,0
1594,5628,1129,4613,1015,0,0,0,0,0,0,0
1595,14859,2975,10644,1079,0,0,3136,0,0,0,0
1596,12246,2473,6046,0,0,0,6117,83,0,0,0
1597,13703,2700,4700,0,0,0,8335,668,0,0,0
1598,19030,3786,9309,0,0,0,9441,280,0,0,0
1599,19557,3920,8597,0,0,0,10960,0,0,0,0
1600,20867,4171,11611,0,0,0,9256,0,0,0,0
1601,18241,3651,8086,0,0,0,10155,0,0,0,0
1602,4510,901,2217,0,0,0,2293,0,0,0,0
1603,5427,1087,3991,0,0,0,1436,0,0,0,0
1604,5769,1137,3993,0,0,0,1442,334,0,0,0
1605,5920,1185,3138,0,0,0,2782,0,0,0,0
1606,5828,1167,4894,0,0,0,346,588,0,0,0
1607,3695,740,2948,0,0,0,747,0,0,0,0
1608,8596,1723,5026,0,0,0,3570,0,0,0,0
1609,13898,2786,10572,0,0,0,3326,0,0,0,0
1610,14582,2909,9413,0,0,0,5169,0,0,0,0
1611,7075,1404,2514,0,0,0,4561,0,0,0,0
1612,7641,1509,3756,381,0,0,3170,334,0,0,0
